# BLE AoA 7x7 reference grid, measured 2026-09-11. Frame: anchor centre = origin, +x toward tag wall (x=295 cm), +y right FROM TAG, +z up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Uncertainties (half-ranges, combined in quadrature): x +/-1.0 cm; y +/-0.25 cm; z +/-0.5 cm; floor/ceiling z assumed +/-0.5 cm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Ceiling height above floor measured 259-260 cm (true value <260 cm; the 260.0 entries are at the rounding limit). lambda=12.3 cm (2440 MHz).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row,col,label,x_cm,y_cm,z_cm,x_unc_cm,y_unc_cm,z_unc_cm,AZ_deg,EL_deg,AZ_unc_deg,EL_unc_deg,z_floor_cm,z_ceiling_cm,height_above_floor_cm,clearance_below_ceiling_cm,EL_floor_image_deg,sep_floor_deg,dL_floor_cm,dL_floor_wavelengths,dL_floor_unc_cm,floor_phase_unc_deg,EL_ceiling_image_deg,sep_ceiling_deg,dL_ceiling_cm,dL_ceiling_wavelengths,floor_specular_x_from_wall_cm,ceiling_specular_x_from_wall_cm,z_surface_unc_cm,height_above_floor_unc_cm,clearance_below_ceiling_unc_cm,floor_ray_phase_unc_deg,dL_ceiling_unc_cm,ceiling_ray_phase_unc_deg,ceiling_height_above_floor_cm,range_unc_cm
0,0,1,295,120,118.5,1,0.25,0.5,22.14,20.41,0.08,0.096,-135,124,253.5,5.5,-50.66,71.07,162.5,13.22,0.85,6.2,22.13,1.72,4,0.32,207.8,13.5,0.5,0.71,0.71,24.9,0.52,15.2,259,0.89
0,1,2,295,80,118.5,1,0.25,0.5,15.17,21.19,0.067,0.102,-135.5,124,254,5.5,-51.88,73.07,167.3,13.61,0.87,6.2,22.96,1.77,4.1,0.34,199.3,13,0.5,0.71,0.71,25.5,0.54,15.8,259.5,0.92
0,2,3,295,40,118,1,0.25,0.5,7.72,21.62,0.054,0.106,-135.5,124,253.5,6,-52.57,74.2,169.6,13.79,0.88,6.2,23.59,1.97,4.6,0.38,194,13.7,0.5,0.71,0.71,25.8,0.56,16.4,259.5,0.94
0,3,4,295,0,118,1,0.25,0.5,0,21.8,0.049,0.107,-136,124,254,6,-52.9,74.7,171.3,13.93,0.89,6.2,23.78,1.98,4.6,0.38,192.1,13.6,0.5,0.71,0.71,26.1,0.56,16.4,260,0.95
0,4,5,295,-40,117.5,1,0.25,0.5,-7.72,21.54,0.054,0.106,-136,123.5,253.5,6,-52.61,74.15,170.2,13.84,0.88,6.3,23.51,1.97,4.6,0.37,193.8,13.8,0.5,0.71,0.71,25.8,0.55,16.1,259.5,0.94
0,5,6,295,-80,117.5,1,0.25,0.5,-15.17,21.03,0.067,0.102,-136.5,123.5,254,6,-51.95,72.98,168.4,13.7,0.87,6.3,22.96,1.93,4.5,0.37,198.8,14.2,0.5,0.71,0.71,25.5,0.54,15.8,260,0.92
0,6,7,295,-120,117,1,0.25,0.5,-22.14,20.17,0.08,0.096,-136.5,123.5,253.5,6.5,-50.77,70.94,164.2,13.36,0.85,6.3,22.21,2.03,4.7,0.38,207,15.9,0.5,0.71,0.71,24.9,0.52,15.2,260,0.89
1,0,8,295,120,79,1,0.25,0.5,22.14,13.93,0.08,0.093,-135,124,214,45,-47.62,61.55,144.3,11.74,0.83,7.3,27.95,14.02,32.4,2.64,195.3,84.8,0.5,0.71,0.71,24.3,0.59,17.3,259,0.91
1,1,9,295,80,79,1,0.25,0.5,15.17,14.49,0.067,0.098,-135.5,124,214.5,45,-48.87,63.36,149,12.12,0.85,7.4,28.94,14.45,33.6,2.73,187.3,81.4,0.5,0.71,0.71,24.9,0.61,17.9,259.5,0.94
1,2,10,295,40,78.5,1,0.25,0.5,7.72,14.77,0.054,0.102,-135.5,124,214,45.5,-49.58,64.35,151.2,12.3,0.86,7.4,29.66,14.88,34.7,2.82,182.3,79.9,0.5,0.71,0.71,25.2,0.63,18.4,259.5,0.97
1,3,11,295,0,78.5,1,0.25,0.5,0,14.9,0.049,0.103,-136,124,214.5,45.5,-49.91,64.82,152.9,12.43,0.87,7.4,29.88,14.98,35,2.84,180.5,79.2,0.5,0.71,0.71,25.5,0.63,18.4,260,0.97
1,4,12,295,-40,78.5,1,0.25,0.5,-7.72,14.77,0.054,0.102,-136,123.5,214.5,45,-49.66,64.43,152,12.36,0.86,7.4,29.51,14.74,34.2,2.78,182.2,79.5,0.5,0.71,0.71,25.2,0.63,18.4,259.5,0.97
1,5,13,295,-80,78,1,0.25,0.5,-15.17,14.32,0.067,0.098,-136.5,123.5,214.5,45.5,-48.95,63.27,150,12.2,0.85,7.4,28.94,14.62,33.8,2.75,186.8,82.3,0.5,0.71,0.71,24.9,0.61,17.9,260,0.95
1,6,14,295,-120,78,1,0.25,0.5,-22.14,13.76,0.08,0.093,-136.5,123.5,214.5,45.5,-47.78,61.54,146.1,11.88,0.83,7.4,27.95,14.19,32.7,2.66,194.6,85.7,0.5,0.71,0.71,24.3,0.59,17.3,260,0.91
2,0,15,295,120,39.5,1,0.25,0.5,22.14,7.07,0.08,0.091,-135,124,174.5,84.5,-44.18,51.25,123.2,10.02,0.8,8.4,33.21,26.14,59.7,4.86,179.6,129.1,0.5,0.71,0.71,23.4,0.66,19.3,259,0.93
2,1,16,295,80,39.5,1,0.25,0.5,15.17,7.36,0.067,0.095,-135.5,124,175,84.5,-45.45,52.81,127.5,10.37,0.82,8.6,34.3,26.94,61.8,5.03,172.3,123.9,0.5,0.71,0.71,24,0.68,19.9,259.5,0.96
2,2,17,295,40,39,1,0.25,0.5,7.72,7.46,0.054,0.098,-135.5,124,174.5,85,-46.16,53.62,129.6,10.54,0.83,8.7,35.07,27.61,63.5,5.16,167.6,121.1,0.5,0.71,0.71,24.3,0.7,20.5,259.5,0.99
2,3,18,295,0,39,1,0.25,0.5,0,7.53,0.049,0.099,-136,124,175,85,-46.51,54.04,131.1,10.66,0.84,8.7,35.32,27.79,64,5.2,166,120,0.5,0.71,0.71,24.6,0.7,20.5,260,0.99
2,4,19,295,-40,38.5,1,0.25,0.5,-7.72,7.37,0.054,0.098,-136,123.5,174.5,85,-46.21,53.57,130,10.57,0.84,8.7,35.01,27.64,63.3,5.15,167.3,121.4,0.5,0.71,0.71,24.6,0.69,20.2,259.5,0.99
2,5,20,295,-80,38.5,1,0.25,0.5,-15.17,7.18,0.067,0.095,-136.5,123.5,175,85,-45.54,52.72,128.3,10.44,0.82,8.6,34.3,27.12,61.9,5.04,171.7,124.6,0.5,0.71,0.71,24,0.68,19.9,260,0.96
