pt,x,y,z,AZ,EL,role
1,295.0,120.0,120.0,22.135491878100353,20.646315255835773,ref
2,295.0,80.0,120.0,15.172915345525261,21.434944825251772,grid
3,295.0,40.0,120.0,7.721825800130975,21.95392099832528,grid
4,295.0,0.0,120.0,0.0,22.135491878100353,ref
5,295.0,-40.0,120.0,-7.721825800130975,21.95392099832528,grid
6,295.0,-80.0,120.0,-15.172915345525261,21.434944825251772,grid
7,295.0,-120.0,120.0,-22.135491878100353,20.646315255835773,ref
8,295.0,120.0,80.0,22.135491878100353,14.100868484126098,grid
9,295.0,80.0,80.0,15.172915345525261,14.667181640287225,grid
10,295.0,40.0,80.0,7.721825800130975,15.04159019127726,grid
11,295.0,0.0,80.0,0.0,15.172915345525261,grid
12,295.0,-40.0,80.0,-7.721825800130975,15.04159019127726,grid
13,295.0,-80.0,80.0,-15.172915345525261,14.667181640287225,grid
14,295.0,-120.0,80.0,-22.135491878100353,14.100868484126098,grid
15,295.0,120.0,40.0,22.135491878100353,7.1588272544309115,ref
16,295.0,80.0,40.0,15.172915345525261,7.455727577143198,grid
17,295.0,40.0,40.0,7.721825800130975,7.652638469969745,grid
18,295.0,0.0,40.0,0.0,7.721825800130975,grid
19,295.0,-40.0,40.0,-7.721825800130975,7.652638469969745,grid
20,295.0,-80.0,40.0,-15.172915345525261,7.455727577143198,grid
21,295.0,-120.0,40.0,-22.135491878100353,7.1588272544309115,ref
22,295.0,120.0,0.0,22.135491878100353,0.0,grid
23,295.0,80.0,0.0,15.172915345525261,0.0,grid
24,295.0,40.0,0.0,7.721825800130975,0.0,grid
25,295.0,0.0,0.0,0.0,0.0,ref
26,295.0,-40.0,0.0,-7.721825800130975,0.0,grid
27,295.0,-80.0,0.0,-15.172915345525261,0.0,grid
28,295.0,-120.0,0.0,-22.135491878100353,0.0,grid
29,295.0,120.0,-40.0,22.135491878100353,-7.1588272544309115,ref
30,295.0,80.0,-40.0,15.172915345525261,-7.455727577143198,grid
31,295.0,40.0,-40.0,7.721825800130975,-7.652638469969745,grid
32,295.0,0.0,-40.0,0.0,-7.721825800130975,grid
33,295.0,-40.0,-40.0,-7.721825800130975,-7.652638469969745,grid
34,295.0,-80.0,-40.0,-15.172915345525261,-7.455727577143198,grid
35,295.0,-120.0,-40.0,-22.135491878100353,-7.1588272544309115,ref
36,295.0,120.0,-80.0,22.135491878100353,-14.100868484126098,grid
37,295.0,80.0,-80.0,15.172915345525261,-14.667181640287225,grid
38,295.0,40.0,-80.0,7.721825800130975,-15.04159019127726,grid
39,295.0,0.0,-80.0,0.0,-15.172915345525261,grid
40,295.0,-40.0,-80.0,-7.721825800130975,-15.04159019127726,grid
41,295.0,-80.0,-80.0,-15.172915345525261,-14.667181640287225,grid
42,295.0,-120.0,-80.0,-22.135491878100353,-14.100868484126098,grid
43,295.0,120.0,-120.0,22.135491878100353,-20.646315255835773,ref
44,295.0,80.0,-120.0,15.172915345525261,-21.434944825251772,grid
45,295.0,40.0,-120.0,7.721825800130975,-21.95392099832528,grid
46,295.0,0.0,-120.0,0.0,-22.135491878100353,ref
47,295.0,-40.0,-120.0,-7.721825800130975,-21.95392099832528,grid
48,295.0,-80.0,-120.0,-15.172915345525261,-21.434944825251772,grid
49,295.0,-120.0,-120.0,-22.135491878100353,-20.646315255835773,ref
