set,pt,address,sequence,channel,rssi,timestamp,cfo_kHz,cfo_gamma,resid_kHz
test,21,60:a4:23:c9:7d:8d,4166,35,-52,2026-09-18 17:17:30.340,-207.37472476577983,0.9997842681647018,0.5072527198445914
test,46,84:2e:14:31:ba:9e,1580,10,-58,2026-09-18 17:17:30.360,-204.00874663293976,0.99834095457194,-2.2799129605579576
test,29,84:2e:14:31:b6:79,2085,7,-49,2026-09-18 17:17:30.380,-197.85881207489047,0.9998472485338878,-0.6446033815438975
test,35,58:8e:81:44:08:65,3072,31,-60,2026-09-18 17:17:30.400,-194.2784072185117,0.9998043560466559,-0.6600311540560996
test,7,84:2e:14:31:bb:71,4919,7,-45,2026-09-18 17:17:30.518,-203.02214394106113,0.9999043703660923,-0.702514637484396
test,25,84:2e:14:31:f0:7b,3812,11,-54,2026-09-18 17:17:30.562,-216.2543492028834,0.9997832735973066,-0.508630432733495
test,43,84:2e:14:31:b6:1a,2053,31,-61,2026-09-18 17:17:30.607,-202.20867221403088,0.9995177357995421,-1.8769244771156655
test,49,58:8e:81:44:09:0f,479,15,-53,2026-09-18 17:17:30.742,-199.13358749056866,0.9997213173483501,-0.7908475008502948
test,1,60:a4:23:c9:8d:c4,10252,21,-54,2026-09-18 17:17:30.762,-216.85891470046965,0.9997124494675392,-0.6207819587659791
test,46,84:2e:14:31:ba:9e,1584,35,-67,2026-09-18 17:17:30.795,-205.50663811018612,0.999843384762948,-0.1847561627430326
test,1,60:a4:23:c9:8d:c4,10254,35,-57,2026-09-18 17:17:30.972,-216.58080070759556,0.9999125817661774,-0.5399686307345215
test,29,84:2e:14:31:b6:79,2091,33,-52,2026-09-18 17:17:31.015,-196.91956972549013,0.9999059245569474,-0.6502093374883818
test,25,84:2e:14:31:f0:7b,3817,20,-70,2026-09-18 17:17:31.087,-217.77502482874343,0.998295285653912,1.1254138366682418
test,49,58:8e:81:44:09:0f,483,4,-62,2026-09-18 17:17:31.167,-200.21522969840308,0.9996215859905544,-0.08870428768254739
test,25,84:2e:14:31:f0:7b,3818,6,-56,2026-09-18 17:17:31.197,-217.20880869976628,0.9998153360747152,0.33031532776220995
